X5uM_10h X5uM_10h.1 X5uM_10h.2 X5uM_10h.3 X5uM_10h.4 X5uM_10h.5 Veh_24h Veh_24h.1 Veh_24h.2 Veh_24h.3 Veh_24h.4 Veh_24h.5 X5uM_24h X5uM_24h.1 X5uM_24h.2 X5uM_24h.3 X5uM_24h.4 X5uM_24h.5 X10uM_24h X10uM_24h.1 X10uM_24h.2 X10uM_24h.3 X10uM_24h.4 X10uM_24h.5 UT_48h UT_48h.1 UT_48h.2 UT_48h.3 UT_48h.4 UT_48h.5 Veh_48h Veh_48h.1 Veh_48h.2 Veh_48h.3 Veh_48h.4 Veh_48h.5 Veh_72h Veh_72h.1 Veh_72h.2 Veh_72h.3 Veh_72h.4 Veh_72h.5
0.7615428 0.7573849 0.7629022 0.7642042 0.7538571 0.7624133 0.7873704 0.7764704 0.7655913 0.7783414 0.7720770 0.7808812 0.7754872 0.7759201 0.7674833 0.7720770 0.7737420 0.7687778 0.7743496 0.7788068 0.7788068 0.7860521 0.7732421 0.7610486 0.7669706 0.7582137 0.7562551 0.7394323 0.7591316 0.7562551 0.7547246 0.7515933 0.7619836 0.7633482 0.7674833 0.7610486 0.7530899 0.7526120 0.7511130 0.7586579 0.7573849 0.7469322
0.7361739 0.7485355 0.7388875 0.7394323 0.7394323 0.7432512 0.6957286 0.7332217 0.7367821 0.7115280 0.7257380 0.7469322 0.7350686 0.7443058 0.7543855 0.7414022 0.7530899 0.7619836 0.7557277 0.7567613 0.7573849 0.7474288 0.7600870 0.7547246 0.7538571 0.7457871 0.7463479 0.7890158 0.7485355 0.7469322 0.7407332 0.7381187 0.7485355 0.7407332 0.7443058 0.7420744 0.7469322 0.7521032 0.7596190 0.7591316 0.7687778 0.7615428
0.7485355 0.7457871 0.7394323 0.7505276 0.7452295 0.7562551 0.7515933 0.7367821 0.7288014 0.7447130 0.7225350 0.7401036 0.7481189 0.7452295 0.7432512 0.7438482 0.7401036 0.7452295 0.7394323 0.7485355 0.7463479 0.7586579 0.7515933 0.7432512 0.7346337 0.7373977 0.7250225 0.7005497 0.7420744 0.7332217 0.7174055 0.7250225 0.7332217 0.7361739 0.7426980 0.7381187 0.7332217 0.7388875 0.7257380 0.7350686 0.7420744 0.7346337
0.8581065 0.8684248 0.8647650 0.8630288 0.8684248 0.8708218 0.8717226 0.8684248 0.8475902 0.8674466 0.8446491 0.8614617 0.8614617 0.8663336 0.8663336 0.8717226 0.8647650 0.8607598 0.8519291 0.8654376 0.8527655 0.8684248 0.8692334 0.8638091 0.8390582 0.8581065 0.8350098 0.8415716 0.8464949 0.8488038 0.8543585 0.8519291 0.8527655 0.8536043 0.8404358 0.8527655 0.8421062 0.8519291 0.8212590 0.8415716 0.8371625 0.8396689
0.7702123 0.7530899 0.7624133 0.7696713 0.7702123 0.7743496 0.7702123 0.7706816 0.7511130 0.7706816 0.7381187 0.7645801 0.7485355 0.7562551 0.7659790 0.7716231 0.7591316 0.7610486 0.7312514 0.7538571 0.7338701 0.7573849 0.7624133 0.7543855 0.7457871 0.7633482 0.7350686 0.7324890 0.7577900 0.7530899 0.7674833 0.7674833 0.7521032 0.7629022 0.7414022 0.7664424 0.7495534 0.7692501 0.7332217 0.7452295 0.7426980 0.7515933
0.7407332 0.7324890 0.7190490 0.7481189 0.7338701 0.7420744 0.7218473 0.7350686 0.7101877 0.7350686 0.7065651 0.7218473 0.7204311 0.7265013 0.7212860 0.7338701 0.7282445 0.7332217 0.7072074 0.7282445 0.7108687 0.7250225 0.7282445 0.7204311 0.6851022 0.7212860 0.6871066 0.7474288 0.7072074 0.7218473 0.7225350 0.7108687 0.7005497 0.7242839 0.7080109 0.7131528 0.7115280 0.7138419 0.6957286 0.7005497 0.6935229 0.6979411
0.8692334 0.8638091 0.8663336 0.8674466 0.8692334 0.8699465 0.8692334 0.8674466 0.8600258 0.8732473 0.8519291 0.8674466 0.8647650 0.8692334 0.8684248 0.8743346 0.8663336 0.8699465 0.8560557 0.8708218 0.8614617 0.8708218 0.8732473 0.8725057 0.8607598 0.8725057 0.8469464 0.8508609 0.8638091 0.8647650 0.8684248 0.8684248 0.8654376 0.8674466 0.8591092 0.8684248 0.8591092 0.8692334 0.8519291 0.8663336 0.8654376 0.8654376
0.7642042 0.7633482 0.7659790 0.7573849 0.7645801 0.7768563 0.7551338 0.7674833 0.7530899 0.7702123 0.7500128 0.7485355 0.7530899 0.7394323 0.7426980 0.7582137 0.7426980 0.7600870 0.7295363 0.7324890 0.7131528 0.7420744 0.7547246 0.7373977 0.7324890 0.7521032 0.7332217 0.7218473 0.7361739 0.7547246 0.7600870 0.7633482 0.7381187 0.7624133 0.7312514 0.7600870 0.7271830 0.7432512 0.7304729 0.7500128 0.7381187 0.7530899
0.9064512 0.9043405 0.9014029 0.9085012 0.9085012 0.9105157 0.9064512 0.9085012 0.8955195 0.9171286 0.8920870 0.8983805 0.9043405 0.9043405 0.9043405 0.9105157 0.9043405 0.9043405 0.8920870 0.9064512 0.8906802 0.9064512 0.9085012 0.9105157 0.8955195 0.9171286 0.8859251 0.8983805 0.9043405 0.9043405 0.9064512 0.9085012 0.9014029 0.9085012 0.8983805 0.9105157 0.9014029 0.9171286 0.8920870 0.8983805 0.9043405 0.9105157
0.8005223 0.7896484 0.7965003 0.8044968 0.7965003 0.8052233 0.7867592 0.7978204 0.7841099 0.8027378 0.7849652 0.7907372 0.7820669 0.7860521 0.7853342 0.7983881 0.7890158 0.7940069 0.7696713 0.7913109 0.7692501 0.7913109 0.7945989 0.7989773 0.7777744 0.7959437 0.7687778 0.7711623 0.7800158 0.7873704 0.7800158 0.7873704 0.7804660 0.7890158 0.7764704 0.7907372 0.7764704 0.7913109 0.7706816 0.7800158 0.7820669 0.7853342
