"5uM_10h"	"5uM_10h.1"	"5uM_10h.2"	"5uM_10h.3"	"5uM_10h.4"	"5uM_10h.5"	"10uM_10h"	"10uM_10h.1"	"10uM_10h.2"	"10uM_10h.3"	"10uM_10h.4"	"10uM_10h.5"	"UT_24h"	"UT_24h.1"	"UT_24h.2"	"UT_24h.3"	"UT_24h.4"	"UT_24h.5"	"Veh_24h"	"Veh_24h.1"	"Veh_24h.2"	"Veh_24h.3"	"Veh_24h.4"	"Veh_24h.5"	"10uM_24h"	"10uM_24h.1"	"10uM_24h.2"	"10uM_24h.3"	"10uM_24h.4"	"10uM_24h.5"	"Veh_48h"	"Veh_48h.1"	"Veh_48h.2"	"Veh_48h.3"	"Veh_48h.4"	"Veh_48h.5"	"5uM_48h"	"5uM_48h.1"	"5uM_48h.2"	"5uM_48h.3"	"5uM_48h.4"	"5uM_48h.5"	"Veh_72h"	"Veh_72h.1"	"Veh_72h.2"	"Veh_72h.3"	"Veh_72h.4"	"Veh_72h.5"
"choline phosphate"	1166419072	1265307520	1205065472	1179322880	1096046080	1128067712	1191397888	1182007168	1217619072	1123420800	1093816192	1161488000	1792741760	1829042944	1750663168	1890162304	1628348160	1794061824	1350795392	1430533888	1873192064	1672001664	1917077120	1872876160	1645986304	1636905856	1609921536	1408175104	1595303808	1588458368	1854290176	1955370496	2192522240	1355858816	1930990336	2132524672	1667426560	1739561600	1681859328	1705560448	1598822528	1514293888	2111882368	1941793536	2334991872	2233821952	2407992320	2277495040
"citrate"	27587510	29787202	25481678	26819140	34224024	31850576	27286744	29783876	25378336	25921258	35018012	34528816	51118324	56551180	50278576	51047588	49144368	54498444	32450836	34767000	46732256	42844512	51473256	51602564	34865616	38949428	31979802	31525716	36623404	38043016	57832148	65122996	70544960	42913032	61443476	68594584	50658288	47328156	45618200	44171976	43572392	43300708	68838360	64702388	79214272	77722872	87898752	84627112
"coenzyme A"	111891	127331	122857	102658	104127	138870	152336	85180	91840	146623	116114	159980	282097	254541	275493	313178	334169	344058	178815	198972	324133	252146	307440	330538	157335	222640	169266	181164	225659	183251	290138	326869	496539	159828	451746	536284	211859	162797	254240	208020	205239	166920	518949	464639	700780	663141	755696	782903
"creatine"	184007488	219078592	213480560	178558848	161979504	174945856	201681664	196935840	217257296	168557584	159554128	154265616	285635520	317158080	269773088	316486816	237808016	338081248	147581504	226194448	320039648	249635008	345835136	284625760	273952768	196426080	256016544	183800720	231821472	268292544	298218656	328821536	310442432	203294832	294273472	304534912	260041264	259712704	233697872	279982208	246950576	205515904	397428704	324590336	488186272	355216960	467489632	447817664
"creatine phosphate"	537668	424991	480669	617047	567145	522824	498509	363663	454464	562968	569842	559733	806337	923699	966078	945614	882501	873576	511989	585377	911387	1004512	1055179	1017574	707315	712258	561157	657479	819370	802789	924874	893927	1323257	766558	1183779	1351761	743480	697187	759106	714529	693758	790704	1346267	1336776	1752920	2024699	1958753	1970598
"creatinine"	7204777	11425023	13289257	9016747	8861750	10602944	12651005	11149392	12565886	11033783	13514331	6663213	19196872	20118276	13525962	21271636	12238146	20174932	8831762	13828189	21798780	12957873	22789744	15181163	16495236	9165333	15856994	11227403	13692701	17258504	18128976	22438944	13907900	15177892	15253283	17020618	18407282	16817936	13450478	18096748	14871732	16441157	26767530	13782068	35589264	29031226	24124048	36839168
"cysteine"	374923	675505	666434	402371	442784	511551	522453	334331	526719	375039	778422	442937	592631	585459	483001	720771	363346	668008	361279	480730	876950	486021	943199	577646	627908	361224	554024	289452	528593	772804	608880	657007	874260	435084	967416	1095972	638936	674144	452538	625436	686334	579922	1290482	621305	1501502	1023593	1104996	1228397
"cysteinylglycine"	967502	1136294	653427	474969	664350	1055096	620477	NA	NA	454901	568502	951520	2603979	2731321	2944888	2930015	2519716	3657794	1372221	1669384	3265911	2337724	3643430	3610981	1235447	1389785	1307670	906815	1669096	1590283	2806980	3413088	4841599	1573829	4153663	4774740	1686918	1442345	2136385	1539638	1909464	1433279	4671111	3939726	7391476	5591040	7122719	6690101
"cytidine"	NA	NA	NA	NA	NA	NA	21240	NA	20473	13313	32437	21734	29844	26944	NA	NA	22716	11639	NA	NA	NA	14934	35039	28712	19772	20740	27974	18916	23040	20927	18497	NA	20195	NA	40751	29766	23799	NA	18859	NA	33499	20345	55086	30354	29634	41276	54256	39227
"cytidine 5'-diphosphocholine"	NA	NA	NA	12036	NA	NA	NA	NA	NA	15007	NA	NA	NA	NA	25686	NA	34454	NA	NA	18343	NA	NA	NA	30618	56856	28504	50736	26808	34335	42739	36911	85275	24577	NA	58143	50717	58457	NA	56002	57729	35297	19807	52907	NA	93705	47991	40426	68540
"cytidine 5'-monophosphate (5'-CMP)"	474393	776843	646084	382377	415571	445407	670805	1152498	675023	460974	415995	460708	1014944	1686022	622857	1475056	710046	1812634	561317	792357	1384726	533036	1561373	736271	1204277	535252	932346	514463	667464	998123	1090101	1897238	1116428	531856	1181328	1282460	1608376	971061	832148	1395771	698001	713631	1601566	1025961	2954101	1303884	1454450	2921426
"cytidine 5'-monophospho-N-acetylneuraminic acid"	87441	186747	187055	55249	120950	167594	75268	122965	223927	80418	63833	242561	115491	391108	362492	113583	100763	396218	60200	60682	433071	29484	182430	394270	94862	165344	317785	116015	343254	299673	140686	266908	659051	52999	198786	764614	143079	136946	364713	106981	304105	339307	209457	276795	885320	287952	933251	933726
"cytidine diphosphate"	309458	280092	288455	305722	251984	270098	311585	303149	313529	320358	226178	334620	599681	630383	548715	563465	489138	570860	384152	331722	512325	413985	624309	608290	270125	316380	288792	286192	243827	364241	732467	772964	947877	581223	742137	892406	465653	439753	564601	498750	336927	422289	961336	908946	1048135	1150616	1046671	1121320
"cytidine triphosphate"	975167	909319	645904	855344	742315	627358	814924	677068	631290	773584	1039322	609773	1145856	1239424	963107	1198598	1239432	1182880	880299	930898	1136631	1175006	1262531	1119157	805123	816066	664537	738025	780733	733808	1445806	1478123	1833398	1462648	1509586	1774087	1141283	1045986	1015971	1108006	1060548	909168	1779221	1872318	2110566	2311445	2094626	2387793
"deoxycarnitine"	4627075	8399541	7735190	4861555	5628944	5810160	8078128	7811729	7254788	5977476	5277917	3961107	11681047	12826313	7762747	13071218	9195900	13340909	5431357	7539225	12408827	8064408	13638241	7423650	10507813	4723683	8702657	6158752	7654904	10225812	12150398	13533654	10898276	6641506	11549869	14231366	11006440	10328523	8280837	10711588	9630670	8821772	20642206	9597701	28693662	17844050	17279006	26848944
"dihydroxyacetone phosphate (DHAP)"	213988	245857	257189	150632	NA	138443	584161	293556	196863	234928	NA	138966	504814	656352	430993	673530	402113	520131	70431	233567	443540	348809	571895	273588	573165	423691	412484	300191	554761	667713	527794	651630	529021	270872	685006	868609	500861	533909	407588	426596	319183	415179	1199026	770934	2170810	1450985	1391872	1751216
"dimethylarginine (SDMA + ADMA)"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	104274	198083	NA	345853	267845	211017	267750	NA	NA	222156	NA	322781	NA	203115	NA	203928	224818	144968	131264	277945	386926	327251	NA	537550	521934	NA	355761	NA	NA	164367	67169	694082	628528	1261551	1003394	1174901	960947
"dimethylglycine"	NA	NA	NA	NA	212949	NA	546695	304076	NA	NA	NA	NA	NA	491711	NA	505382	241661	412244	606965	NA	1279970	354276	NA	NA	355102	NA	NA	NA	NA	NA	NA	558966	NA	254866	595785	314879	324830	NA	NA	524981	NA	414105	NA	NA	543482	NA	NA	616386
"docosahexaenoate (DHA; 22:6n3)"	498387	754346	878054	596141	705141	731610	593399	683950	735307	781231	534179	679688	816618	1191726	1060504	774367	800604	607267	1057501	621602	1148425	1667357	1111380	1342023	848592	1133975	1132183	989040	1014636	1142524	615057	713266	795639	420653	798259	875931	735136	731037	787053	676721	702660	987710	747347	640925	717595	645543	852296	887780
"docosapentaenoate (n3 DPA; 22:5n3)"	NA	273399	447379	NA	208741	430213	176397	237318	546300	NA	432090	200650	378713	433115	474082	541669	419406	539849	533334	NA	353047	708780	406155	525125	362718	499577	500039	376773	346124	673896	NA	NA	582311	228574	196005	494174	NA	456925	NA	NA	309453	865444	223296	319898	221637	449151	385126	648649
"eicosapentaenoate (EPA; 20:5n3)"	702575	884209	1359431	1339005	852690	923398	981808	936446	1054641	1068507	881142	767843	1063095	1521964	1073728	845295	1045048	816754	1363766	983878	1054193	1348666	1292694	1460916	1512285	1678881	1695491	1611454	1038879	1297719	679847	989386	841278	489153	724258	823578	955214	1123006	965197	843608	883691	1136594	927515	775007	817181	767713	1010750	682805
"ergothioneine"	17327	55847	70435	18684	22606	NA	NA	77933	46732	20378	34044	27047	162439	430870	168805	325250	134695	369144	34546	115991	376193	105656	401742	154261	84107	46018	91256	NA	77403	104536	431121	665033	329018	244555	466561	631479	70407	81225	85666	151869	74041	78913	688385	399846	1248232	1088374	807706	2070346
"erythritol"	458568	376166	355945	364081	406899	348005	419618	292816	360761	364927	399727	384233	564123	673030	569983	547735	458399	483611	354797	431623	511894	503197	585449	522574	521022	541626	432034	453009	451155	534703	682065	669275	923426	434087	912085	902577	622915	560286	626968	623986	632546	682742	841099	802581	931929	940743	1386153	1217298
"erythronate*"	112735928	86535304	85036768	105530000	84399552	84842344	102886088	84074904	96864080	100943552	96526976	97052288	128342096	116548896	120067696	143976800	113821392	116332712	82398600	92424184	122297280	116731160	147025936	131685872	139846800	151916064	145681472	134644720	144475408	138509584	123484464	128132032	182591968	81408768	179839968	179785904	147716432	120502424	127170056	131629584	130218160	120900104	192457520	176658192	213086192	264206096	264518512	228986192
"ethylmalonate"	NA	NA	NA	NA	NA	NA	207034	NA	288395	NA	NA	NA	628779	609136	423731	526430	513574	568869	273070	316965	490372	654129	569416	614228	313646	384968	302550	356975	274031	312105	854744	645462	933055	434427	893495	929500	406296	317201	291333	441436	NA	347922	988430	955067	1377624	1759157	2759030	1713620
"flavin adenine dinucleotide (FAD)"	64792	72058	51758	68377	54709	58528	70919	63264	54445	65868	57023	62444	119006	121056	106220	120672	105109	108538	85529	74663	122739	109535	119960	118918	92036	97840	87433	85923	102552	84303	126815	117226	172961	93770	165957	153877	114962	104491	118092	111818	110323	102459	189708	175825	218889	249185	291906	230448
"fructose"	9910165	2999496	7625561	8890857	7202861	7072538	7282873	2121141	6532587	6500141	9750078	6768769	10223825	8569128	12896399	13711841	4582621	3855646	9252116	8449425	11516032	11316234	14998565	12124063	10696497	11052081	10125498	8962034	10156076	8810884	17898368	16433381	17352024	7899059	26891968	25712496	17427444	14101600	18443784	16913584	18301040	15742501	20323240	16435169	22035630	25980612	29299956	23253580
"fumarate"	7787531	5083886	5860824	6980429	5548386	5594590	7044612	4475550	6260360	6703609	5988608	5347137	10740692	11634122	11710558	12459848	10216898	10247252	7198101	8177849	11298435	11686232	15535626	12875776	8353721	8757824	8330724	8095816	9639307	9159249	14960268	15989540	15271331	9926685	20801672	20727310	12195456	10705501	9059730	10374113	10019025	9703388	21966884	21454968	22527320	28138428	33532344	26825068
"galactonate"	700491	NA	347625	574775	NA	NA	668973	289018	NA	477256	NA	NA	664581	527569	420157	704040	306744	609497	241583	NA	NA	502561	795371	678261	432587	NA	NA	547263	NA	NA	534137	425419	934417	NA	404285	532846	624159	386081	NA	354760	379709	NA	1696662	932713	1337122	2223459	2244324	1475578
"gamma-aminobutyrate (GABA)"	26583936	44272928	46144352	28008806	31304590	35179096	47564612	46597720	38780440	37762088	29199678	15763280	78735248	84243184	46433016	82245760	58471408	86052048	39596428	65092120	82849472	51844952	89595304	47617464	72796032	30080454	66561984	47417792	56612076	71054096	67778664	97017808	54156048	57601172	56715524	74124464	72146200	62119812	49170448	66058956	51389892	60457436	104738912	49102960	104836816	73676104	57919112	110576800
"gamma-carboxyglutamate"	82579	193030	193506	88445	124761	118897	NA	197079	166914	95220	96455	103254	293873	370677	142200	350577	235854	363100	104142	196186	312131	NA	365543	154242	312108	118794	225247	112238	188346	291592	253377	335909	181406	137215	233823	296611	271324	218339	221830	294959	164144	139469	321616	148897	499663	267988	230008	490920
"gamma-glutamyl-epsilon-lysine"	59158	122815	114418	68087	72265	92265	134067	132855	121620	73093	79316	78238	164440	203734	105573	203973	116703	200574	67863	97267	209270	88611	252279	134558	213877	98965	184783	91205	158234	271161	177079	214225	140878	68057	130968	134396	409731	335195	163763	320689	259065	236177	306746	124758	347579	195492	272320	349574
"gamma-glutamylcysteine"	42544	132037	119496	40307	82741	58966	107486	74781	64966	71387	68036	66006	143377	127006	NA	140499	70829	138457	42776	99222	191378	77508	257991	47513	222027	98362	129671	45694	123437	170369	93555	138449	96884	NA	115295	133181	163720	45282	68626	127052	108528	NA	208031	NA	300604	154385	208736	231451
"gamma-glutamylglutamate"	161546	318975	328564	152065	239854	240293	306523	371812	294785	174860	256069	193373	438483	506056	199248	541259	418349	510590	230416	188971	513262	177016	591119	295638	647699	305897	428571	245543	349941	537181	436878	595369	366115	211697	616006	537956	819546	784138	494618	744920	483472	389343	764030	366307	1523618	720681	868903	1286500
"gamma-glutamylglutamine"	15266	23219	48939	22175	32291	28907	45941	27480	NA	12328	143600	46000	40475	43265	56759	85805	32736	69306	18105	NA	NA	NA	92429	49920	82140	25882	53713	18241	30720	50741	66260	58200	62302	27880	99523	80047	149727	NA	83877	114513	122824	61615	90933	25257	227656	117932	227221	297145
"gamma-glutamylisoleucine*"	NA	172196	157782	74985	104788	95932	191835	203158	195256	118841	122436	112973	111102	293025	88785	238917	126775	264182	55050	144588	291257	152048	268154	112613	289913	125482	169397	130950	193537	288452	170111	251230	139227	69195	149233	161171	341186	201807	115186	252858	194849	117976	325728	131348	492763	201091	298356	434899
"gamma-glutamylleucine"	NA	33753	47252	42026	38166	NA	58575	88289	68611	NA	49967	36841	NA	98341	43415	86523	48877	82838	NA	NA	67905	32006	94003	NA	93668	44969	66516	36927	68441	114900	70545	78168	80318	17368	81625	73982	118906	77302	57377	78556	NA	NA	128134	102439	197958	140856	173470	194451
"gamma-glutamylthreonine*"	73813	165891	104137	77392	110896	124564	175757	205577	157070	88867	93941	102557	163833	175600	63811	173146	157672	175124	63709	89047	196300	87968	221436	116294	218006	123031	168075	103564	109673	179645	132840	179205	132910	66477	173035	202717	185136	130066	164705	173320	115323	90696	220006	124108	396816	151915	231606	291065
"gamma-glutamylvaline"	NA	115714	104848	42356	NA	53898	104058	173457	108490	86903	102382	49106	143071	195560	115929	163550	86675	192126	52945	73653	189084	69290	211276	86200	163467	NA	119549	98016	139494	199861	142619	172146	96758	58300	87728	86109	206912	154919	113788	178531	99268	82134	190466	70115	326373	209697	132682	301910
"gluconate"	1961433	678067	719452	1261021	787481	NA	1218913	540870	NA	927480	413436	737762	2125948	1729729	1323216	2287129	1558381	1283817	1791203	1643569	952376	2088000	2400579	1963370	1245871	950121	1155486	1448023	702409	NA	1258335	502487	1290837	763132	1413338	NA	1060963	646289	NA	829544	736728	NA	1952657	1316843	1327332	2658003	1924474	1450115
"glucose"	17689128	4406807	33569200	36315084	31813128	25010276	18186016	4573167	28270242	20210640	132927384	36267792	14281420	7060326	38262384	31894576	6052147	5283379	15100937	10736438	27461664	19040500	35669016	26517032	25257168	21706840	23689608	18169736	17175432	12561850	16249476	13062534	8287229	3364364	47814984	35620896	16612069	12266995	30563236	26171480	45364896	30254678	13793776	9502922	14952396	14894769	33776580	22738482
"glucuronate"	402490	399294	204775	321083	226202	152282	327356	220863	281308	277605	373871	289553	483838	567883	470874	651189	513788	482450	341017	292292	548746	576720	651077	778536	NA	407899	352239	437397	407638	364144	716226	562004	791949	507705	717205	773500	289360	274408	302119	381476	348402	238800	1122125	918855	978561	1625144	997881	1231628
"glutamate"	834544704	1009481728	904216640	779522688	772319552	792547328	1011469504	954907776	922446656	791798912	808927424	819456128	1419421184	1445676032	1197944448	1387409792	1174032640	1406177280	767304896	893823168	1305541120	1113698560	1461271168	1188615552	1161864704	1017828480	1073427392	855578368	967230400	1049550720	1502617856	1597973376	1631802752	916743104	1605032320	1674265856	1350924032	1330024448	1146479360	1243986176	1083289472	1031873984	2196242944	1796461312	2521586432	2040927104	2523026688	2498668032
"glutamate, gamma-methyl ester"	2685087	4417024	2895138	2413618	2679476	2290489	3207053	3420987	3974842	2568662	3483853	3052042	9488348	11457265	10496011	12207549	7390321	16091357	NA	3766764	15993947	5944968	23955676	16385014	9381664	4640538	5809087	2836245	4102315	4242510	26266920	18177472	34682356	19936034	26518204	35359128	23311656	18422020	15828484	21468236	16364227	14061632	44072528	19261992	65530884	62281152	85840760	114997280
"glutamine"	56339784	39553244	83134312	61396120	73842752	79716704	64767872	34231696	81007048	52566928	120966072	109233528	49834816	40662824	114979928	117292960	61737400	64872032	49838144	65252156	100247384	59269232	107716472	80617424	73084616	56072572	74066856	43056976	46813700	64646236	43197352	53970308	52596480	20480666	76522048	70817504	57435244	51564320	66622540	63200312	61321420	48108028	45983584	56407528	88374616	53603156	119669824	84649056
"glutarate (pentanedioate)"	698448	553018	565235	506078	NA	484885	505891	527262	504489	541297	360021	411229	672638	627829	628403	679969	478137	565661	417112	474493	559869	460874	733360	637171	504798	604773	727300	560306	606989	713673	1039249	1182673	2029324	630323	3471513	1903783	3617152	1578696	1294994	959342	1595252	1060022	1260149	989331	1153632	1118350	3223735	1193397
"glutathione, oxidized (GSSG)"	6999137	10067144	10089506	7696899	6748090	7774022	10399603	15778422	12095240	6712085	7133100	6456062	14525779	25325108	14225812	18126140	8865077	15900659	8356574	11760506	15104953	9436072	16848898	11075089	17370232	8361735	15212939	7893058	8823934	15386291	14169571	12270594	9407030	9568110	10795278	9951821	14198725	12290854	8381857	14074100	7491562	9325180	12431197	12125459	19986526	11177922	11116671	17408444
"glutathione, reduced (GSH)"	29568116	27933848	22781512	21077346	24623708	23672504	29657022	14302753	15222735	25852176	20403918	24813854	67031040	62094600	58534352	68342672	65992968	67167224	48875280	46590248	69953184	63703060	70543792	68699992	36855208	38160232	31821004	35314104	37158088	32467756	63033132	74205968	92972816	36919300	83148368	99774816	43317980	35291596	45468828	39629972	40414108	31661086	99180784	88780352	115861784	116192712	129033848	121307104
"glycerate"	715670	575822	474547	576024	650646	443979	440967	474502	578982	457243	869689	617576	954437	777307	782601	1072448	489412	688295	709768	1175909	1719405	1570309	3387779	2326620	1599082	621612	816036	351735	701570	439851	1498514	425165	4667200	357210	2968148	3974986	958120	689783	693561	541967	711271	513614	2683395	535507	2945521	5282173	11317106	3243810
"glycerol"	NA	340973	349186	NA	NA	154331	245012	451738	378967	NA	NA	NA	334771	410255	457376	381968	223483	417018	569351	374496	NA	NA	NA	371638	323671	294724	NA	NA	NA	278257	422047	392918	571502	NA	NA	354536	318152	445518	NA	425669	NA	NA	450857	460327	703703	708617	612653	626261
"glycerol 3-phosphate"	397943	503517	863808	421993	382199	653814	383311	314249	947313	306264	323264	784825	248478	933518	938865	420292	236737	801815	108582	248018	982475	347430	725112	1135793	518203	783515	1660574	801749	1311616	1218676	450088	746625	1581182	287639	604891	2013557	590156	504783	1326932	406292	1066847	1080747	731710	826730	2421740	1234260	2612665	2331127
"glycerophosphoethanolamine"	4750416	3844937	3816411	4615950	3636527	3863074	3952171	3134614	3632212	3655955	3337721	3679630	8280322	8335515	8194792	8838792	8051375	8077326	6245493	6652072	7929440	8351083	9866821	8812631	3992640	4549839	4066111	3775851	4527242	4058141	7830857	7791169	11133526	5357466	12462734	12402851	4620873	3993626	4442251	4001824	4329319	4003687	13296376	11862480	17366008	21153184	23389696	19852144
"glycerophosphoglycerol"	1967141	1417759	1186543	1584636	1174178	1134430	1673887	1265417	1281535	1396188	1282097	1397463	3024388	2682648	2428238	2944998	2372476	2360576	1691678	1840103	2506990	2756619	3151569	2821016	1971427	2285735	1735382	1678320	1891737	1712429	3623566	3516421	6105198	2897087	6263630	6427974	2951121	2431037	2358638	2409169	2332424	2199143	8315459	7538996	9879714	12857241	13677123	11311332
"glycerophosphoinositol*"	442333	1335554	1516618	320898	464808	1406206	242097	518749	1629545	326343	336882	1682515	303061	2161824	2090321	441696	345932	2048479	157598	357712	2354079	338320	944697	2461459	273290	538065	1722572	502071	1894362	1780756	451669	1475265	5575778	562909	1093453	6525331	621761	560925	2222129	329751	1451065	2287918	1089923	1755121	10466394	2554303	13247412	12065543
"glycerophosphorylcholine (GPC)"	211744144	222570528	242188704	230559744	223410000	232247232	204524320	191638720	206996896	188530688	192129456	206042432	402734816	393877056	368282048	429376320	371795360	409681216	318460480	340095680	407292448	381366688	440055808	380398048	221172016	205072048	215473648	169933760	218486016	219288928	296176896	304621856	320195200	210303712	300446752	339909632	209784656	200282032	171964208	187372208	195319680	176782272	363348576	327164960	482910272	451800352	532995392	500472896
"glycine"	5925371	9552053	8778722	5687577	8199159	8677258	8934697	8916339	8719194	8055057	9116884	5848647	15354474	15447467	11450857	16432788	15712832	16412423	9400552	9340036	15361301	12833152	17574478	12874137	11185024	8495554	11427126	8323501	10604532	11638775	14262931	14688985	15506074	10031596	19507370	21214778	13563216	13320261	14053661	13022380	13419866	13033847	22300748	13134000	29075976	25054288	26830678	28565154
"glycosyl-N-palmitoyl-sphingosine"	1127294	869584	844356	1211644	864001	971760	1289038	1046601	708055	1169146	984330	1421653	204806	402035	453086	632522	147435	399138	230405	330671	179240	677185	405666	432752	375708	781262	310559	595937	893994	1103079	329739	369164	372181	276863	264764	565693	441153	513780	229492	465394	247579	483884	549911	821434	610426	821264	1188248	1382312
"guanine"	307679	1084236	527190	345765	1178174	325194	699893	237245	529011	597933	420516	292600	2165383	735668	NA	1270626	1978006	814072	476490	814268	986538	1081292	2297371	100899	1464739	658535	954021	660697	1331879	245865	NA	276160	NA	140592	1799456	NA	180915	NA	NA	264445	1728528	88609	522714	NA	2425880	2933121	3035786	271947
"guanosine"	90967	306569	324197	155382	259302	179795	460713	762650	687321	311197	148142	277651	659908	600713	95558	394367	256397	529382	234617	235605	468197	189522	696085	333019	1286821	NA	951109	509056	537995	1091544	612227	529924	496523	384510	820534	728014	952737	966234	458499	899230	622869	504005	1690510	355886	1945046	913471	860446	1593248
"guanosine 5'- monophosphate (5'-GMP)"	60079	94565	103276	46200	47900	83701	79930	225572	104938	79201	40000	68849	118378	247936	147125	227233	68669	394314	52770	72455	237566	48217	151594	161971	276598	100175	180394	86951	93639	375293	205224	283093	197823	100257	101428	240017	309593	220682	180065	246425	50097	159534	373540	180972	521416	256862	108126	582855
"guanosine 5'-diphospho-fucose"	29812	55007	41967	41018	48512	51758	64308	25074	49874	45107	43218	50323	101677	114511	112492	105373	99144	94319	73714	62820	89454	91865	109255	95826	76316	93379	68535	70861	77647	75393	110123	120632	126497	82920	130474	137256	83563	78891	70786	50660	77046	70406	147870	137768	198812	191269	213019	207171
"guanosine 5'-triphosphate"	110736	NA	97257	96740	69242	NA	128141	NA	NA	109686	294771	NA	NA	129895	152227	143584	NA	NA	NA	NA	110449	145368	NA	NA	76868	107723	NA	69643	140124	162373	96733	121819	147497	313535	NA	199756	109411	122127	75381	NA	NA	150218	111320	354849	321083	401215	233483	484368
"gulonic acid*"	4611124	2580818	2727779	3323049	2073171	2393189	2782790	2219654	2490729	2579296	2420604	3013007	5743037	5643714	5500207	5868694	3742779	4667960	2300341	4445738	4971232	4363051	7265524	5338711	3570836	4692731	3097971	2834986	3743491	2970719	8749078	6833768	12401956	2696121	9996307	10338478	5247900	3839559	4538569	4041188	4435738	3520700	14821616	12079788	14425537	14430640	22858540	18989784
"HEPES"	49003736	45310620	51602496	53403492	54936296	49890728	51562268	43532880	49303312	49482436	114833504	53068076	67741800	65048076	68087656	68422704	59036132	60485968	51447836	46100352	66173740	59834948	71138328	66680224	57647616	54783336	54199304	52156524	57215568	54470592	62399792	65450924	77568512	44234216	78801952	83293600	64053640	56332364	63467032	58393528	69305720	59146712	78922304	75740144	96206400	95737784	107975160	96468720
"heptanoate (7:0)"	873651	3868141	1648407	1223239	1762698	1126687	827958	2552981	2311083	813396	712743	605153	769516	3531869	413263	949838	3978784	NA	633132	1770139	NA	531383	2400327	637705	946576	1479079	1335210	711032	3090112	1672205	1239366	2995885	109595	1287228	2022502	303971	923833	2103150	626984	1474540	2966872	4141731	752861	1586995	NA	2155547	1869868	292546
"hexanoylcarnitine"	184517	373693	146702	111687	132714	132853	293746	484622	194835	217109	157955	127794	284548	260258	83620	148717	204745	241470	83517	112948	127169	102288	135894	105113	142445	141079	138707	141647	166640	132875	189024	167084	136755	40676	NA	NA	88964	52361	48533	78325	69928	72808	181182	91916	186928	NA	111170	172353
"hippurate"	66396	68412	98763	94456	102410	85058	96036	60070	109544	88833	343963	112611	109565	81656	118371	140507	108594	92943	77274	61558	116299	78981	113622	101123	121377	116207	130875	90866	109814	114309	142588	134615	146290	80807	186733	173094	142672	127472	134576	119686	166567	131341	190411	141077	250659	216638	266255	246438
"histidine"	8524731	11063543	11049303	8360332	7996468	7295937	12361902	12552514	12689043	7982001	16138453	7362695	16633966	19298568	15878905	21838720	11499403	22090540	7110166	11261431	19199960	10184997	21714676	11257806	17184494	11030470	13687100	9581340	11851887	16196256	17627064	19473744	16035832	6393567	15578337	16481083	18167864	13895111	12755433	17598050	14046955	12347529	29395374	18985356	46409240	29699450	38431148	44869072
"homoarginine"	69552	73378	87577	NA	58574	66799	95342	51896	141876	70916	164599	56139	145529	131779	115458	178917	NA	159961	80725	62080	143946	80644	165247	99352	158038	101481	106789	89713	85076	134462	106678	167416	122952	41681	114029	82098	161211	107309	70591	122732	105314	99662	294594	142120	373204	172928	317714	386272
"homostachydrine*"	197474	254549	294412	219405	238977	267353	368382	289795	299152	222402	108192	209586	421739	369396	220356	462997	298454	465984	158157	288777	488436	278254	509072	275972	419681	243591	353755	276738	250670	424941	434205	470288	420454	196761	568223	629094	518738	437134	382228	438321	256726	162492	1543698	422795	1182549	722101	882148	1078490
"hypotaurine"	4145831	3453718	3135053	3576820	3049547	3111398	3921689	2842145	3107963	3646145	3101894	3081730	5579380	5180729	4901877	5797962	5001883	5091352	3820522	3917436	5423823	5626652	6412583	5406685	3771982	3876635	3743876	3838842	4017161	3587081	5639323	5339994	7575435	3585620	7630345	7875230	4472165	3561174	4247779	4104377	3785634	3456867	9294778	7908805	9679003	10931426	11841857	10081328
"imidazole lactate"	30630	NA	38949	NA	NA	NA	29497	NA	23215	18386	NA	NA	55783	52574	32305	67493	NA	65968	29860	NA	61686	47416	71827	NA	NA	NA	38077	NA	29883	55200	NA	91201	56400	16095	NA	22276	95925	39675	NA	37865	NA	NA	98235	62646	108183	60456	87837	113253
"imidazole propionate"	165624	217649	182096	66005	NA	123933	176256	255680	186703	98416	128467	119810	241850	359692	167291	267381	110272	291363	77905	159674	260788	133054	286735	195114	292832	141493	254475	93983	NA	178081	253703	297746	283382	461869	255218	259301	707557	208096	153910	380581	159213	154910	492226	231481	628825	792455	447546	555407
"inosine"	31748	NA	86878	28670	NA	315910	99312	19143	87339	94474	157648	406362	184193	NA	208087	60959	76331	84848	88280	NA	83145	104324	30196	612723	119080	75062	407038	208854	NA	238834	61961	NA	160406	18120	106056	633501	141587	18281	739716	50885	49463	27005	250326	18348	220161	530778	222033	653783
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate"	3056798	519726	4413889	4223438	3794697	4020738	3638087	477987	4603088	4649950	6011449	5273544	1718783	1759307	7757528	7991866	1291516	1370520	5157266	4901239	7893358	7389380	8230733	7373541	7460948	8206530	7437933	6429341	7537669	6943850	4741037	5207503	4690241	2715854	9893585	10993377	4766217	4654538	6825844	5528617	7198399	6708250	3460285	2855485	11017872	10819601	14722634	14422351
